               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044529,            0.024985,            0.023413,             0.88263,             0.53795,             0.58961,             0.35487,            0.032633,           0.0080677,            0.012983,            0.070034,           0.0033296,           0.0033296
                   1,             0.03446,            0.012647,           0.0058305,             0.81572,             0.80147,             0.83564,             0.49048,            0.031836,           0.0070259,           0.0038391,            0.039814,            0.006443,            0.006443
                   2,             0.03306,            0.011705,           0.0026497,             0.83226,             0.83272,              0.8649,             0.53375,            0.029077,           0.0064359,           0.0023148,           0.0093741,           0.0093365,           0.0093365
                   3,            0.030642,            0.011454,           0.0019362,             0.85678,             0.86076,             0.89635,             0.56066,            0.028123,           0.0064003,           0.0019222,             0.00901,             0.00901,             0.00901
                   4,            0.028562,            0.010822,           0.0015847,             0.86255,             0.88236,              0.9152,             0.58746,            0.026227,           0.0057657,           0.0015593,             0.00901,             0.00901,             0.00901
                   5,            0.026867,            0.010303,           0.0014283,             0.88638,             0.90156,             0.93015,             0.61767,            0.024303,           0.0055905,           0.0013815,             0.00868,             0.00868,             0.00868
                   6,            0.025653,            0.010076,           0.0012179,             0.88348,             0.90238,              0.9258,             0.63499,            0.023188,            0.005253,           0.0014087,             0.00835,             0.00835,             0.00835
                   7,            0.024937,           0.0097878,           0.0011061,             0.88597,             0.92055,             0.93752,              0.6575,            0.021885,           0.0050528,           0.0011723,             0.00802,             0.00802,             0.00802
                   8,            0.024019,           0.0096271,          0.00097513,             0.89096,             0.92027,             0.94147,             0.66305,            0.021187,           0.0049938,           0.0011275,             0.00769,             0.00769,             0.00769
                   9,            0.023441,           0.0092844,            0.001074,             0.89752,             0.92236,             0.94264,              0.6731,            0.020624,           0.0047714,            0.001105,             0.00736,             0.00736,             0.00736
                  10,            0.022956,           0.0092125,          0.00098101,             0.89243,             0.92033,             0.93739,             0.65747,            0.021168,           0.0048405,            0.001147,             0.00703,             0.00703,             0.00703
                  11,            0.022709,           0.0091253,          0.00090275,             0.89928,             0.91406,             0.94052,             0.68187,            0.020122,           0.0047647,           0.0010328,              0.0067,              0.0067,              0.0067
                  12,            0.021914,           0.0089272,          0.00088309,             0.89671,             0.92155,             0.94284,              0.6879,            0.019796,           0.0046665,             0.00108,             0.00637,             0.00637,             0.00637
                  13,             0.02168,            0.008887,           0.0008214,              0.8966,             0.92463,             0.94109,             0.69922,            0.019001,           0.0045449,          0.00097057,             0.00604,             0.00604,             0.00604
                  14,             0.02132,           0.0087096,          0.00085269,             0.89362,             0.92652,             0.94552,             0.69939,            0.019044,            0.004537,          0.00093882,             0.00571,             0.00571,             0.00571
                  15,            0.020915,           0.0085794,          0.00084462,             0.90106,             0.92502,             0.94328,             0.70229,            0.018851,           0.0045203,          0.00094034,             0.00538,             0.00538,             0.00538
                  16,            0.020678,           0.0084744,          0.00082677,             0.90569,             0.92389,             0.94594,             0.70994,            0.018286,           0.0044615,          0.00092385,             0.00505,             0.00505,             0.00505
                  17,            0.020351,           0.0084667,          0.00066068,             0.89645,             0.93544,             0.94481,             0.70884,            0.018106,           0.0043888,           0.0008644,             0.00472,             0.00472,             0.00472
                  18,            0.019923,           0.0083197,          0.00071917,             0.89836,             0.92702,             0.94542,             0.71318,             0.01805,           0.0043825,          0.00085546,             0.00439,             0.00439,             0.00439
                  19,            0.019566,           0.0081268,          0.00069016,             0.90847,             0.92407,             0.95186,             0.71965,            0.017691,           0.0043112,          0.00084749,             0.00406,             0.00406,             0.00406
                  20,            0.019364,            0.008158,          0.00069487,             0.90574,             0.93079,               0.949,             0.72084,            0.017363,           0.0042451,          0.00083671,             0.00373,             0.00373,             0.00373
                  21,            0.019033,           0.0080423,          0.00071414,             0.89866,             0.93708,             0.95429,             0.72352,            0.017326,           0.0042573,          0.00082299,              0.0034,              0.0034,              0.0034
                  22,            0.018723,           0.0079832,          0.00060231,             0.90524,             0.93736,             0.95414,             0.72902,            0.017154,           0.0041495,          0.00078795,             0.00307,             0.00307,             0.00307
                  23,            0.018375,           0.0078604,          0.00055061,             0.90149,             0.93816,             0.95231,             0.73086,            0.017013,           0.0041728,          0.00078032,             0.00274,             0.00274,             0.00274
                  24,            0.018189,           0.0077345,          0.00050935,             0.90015,             0.94485,             0.95692,             0.73562,            0.016792,           0.0041225,          0.00075607,             0.00241,             0.00241,             0.00241
                  25,            0.017861,           0.0076739,           0.0005572,             0.90936,             0.93674,              0.9575,             0.73834,            0.016552,           0.0041365,           0.0007625,             0.00208,             0.00208,             0.00208
                  26,            0.017441,           0.0075216,          0.00051091,             0.92001,             0.92756,             0.95803,              0.7445,            0.016347,           0.0040703,          0.00075665,             0.00175,             0.00175,             0.00175
                  27,            0.017216,            0.007437,           0.0005824,             0.91219,             0.93174,             0.95786,             0.74252,            0.016438,           0.0040642,          0.00075333,             0.00142,             0.00142,             0.00142
                  28,             0.01704,           0.0072533,          0.00045617,             0.91169,             0.93677,             0.95914,             0.74184,            0.016207,           0.0040551,          0.00074902,             0.00109,             0.00109,             0.00109
                  29,            0.016818,           0.0072519,          0.00043462,             0.91119,             0.94135,             0.95888,             0.74643,            0.016157,           0.0040099,          0.00074625,             0.00076,             0.00076,             0.00076
